Fecha,InvoicedQuantity,LineExtensionAmount,Producto,Item_ID,PrecioBase,Price_BaseQuantity,TaxTotal_Amount,TaxSubtotal_TaxableAmount,Pc_Imp,TaxSubtotal_Category_TaxScheme_ID,Charge_Indicator,Pc_Descuento,Charge_Amount,Charge_BaseAmount,Precio_comparar,Precio_Normal,Almacen,total,total_imp,nombre_original,Marca,Categoria,Sabor,Tamano,Tamano_num,Unidad,Cantidad,Sobra_nombre,Precio_Unidad
05 Jan 2024,1.0,7500.00,FRESA BANDEJA EXTRA*500g,024953,7500.0,1.000,0.0,0,0.0,0,0,0.0,0,0,7500,7500.0,Mercamio,7500.0,7500.0,FRESA BANDEJA EXTRA*500g,-,-,-,-,-,-,-,-,-
12 Dec 2023,1.0,5737.00,FRESA BANDEJA EXTRA*500g,024953,6750.0,1.000,0.0,0,0.0,0,false,15.0,1013.00,6753.33,5738,6750.0,Mercamio,6750.0,6750.0,FRESA BANDEJA EXTRA*500g,-,-,-,-,-,-,-,-,-
07 Nov 2023,1.0,5737.00,FRESA BANDEJA EXTRA*500g,024953,6750.0,1.000,0.0,0,0.0,0,false,15.0,1013.00,6753.33,5738,6750.0,Mercamio,6750.0,6750.0,FRESA BANDEJA EXTRA*500g,-,-,-,-,-,-,-,-,-
20 Oct 2023,1.0,6750.00,FRESA BANDEJA EXTRA*500g,024953,6750.0,1.000,0.0,0,0.0,0,0,0.0,0,0,6750,6750.0,Mercamio,6750.0,6750.0,FRESA BANDEJA EXTRA*500g,-,-,-,-,-,-,-,-,-
07 Jun 2024,1.0,6700.00,FRESA BANDEJA OFERTA*500g,006276,6700.0,1.000,0.0,0,0.0,0,0,0.0,0,0,6700,6700.0,Mercamio,6700.0,6700.0,FRESA BANDEJA OFERTA*500g,-,-,-,-,-,-,-,-,-
31 Mar 2024,1.0,6200.00,FRESA BANDEJA OFERTA*500g,006276,6200.0,1.000,0.0,0,0.0,0,0,0.0,0,0,6200,6200.0,Mercamio,6200.0,6200.0,FRESA BANDEJA OFERTA*500g,-,-,-,-,-,-,-,-,-
10 Mar 2024,1.0,6200.00,FRESA BANDEJA OFERTA*500g,006276,6200.0,1.000,0.0,0,0.0,0,0,0.0,0,0,6200,6200.0,Mercamio,6200.0,6200.0,FRESA BANDEJA OFERTA*500g,-,-,-,-,-,-,-,-,-
27 Feb 2024,1.0,5270.00,FRESA BANDEJA OFERTA*500g,006276,6200.0,1.000,0.0,0,0.0,0,false,15.0,930.00,6200.00,5270,6200.0,Mercamio,6200.0,6200.0,FRESA BANDEJA OFERTA*500g,-,-,-,-,-,-,-,-,-
14 Feb 2024,1.0,6200.00,FRESA BANDEJA OFERTA*500g,006276,6200.0,1.000,0.0,0,0.0,0,0,0.0,0,0,6200,6200.0,Mercamio,6200.0,6200.0,FRESA BANDEJA OFERTA*500g,-,-,-,-,-,-,-,-,-
23 Jan 2024,1.0,4972.00,FRESA BANDEJA OFERTA*500g,006276,5850.0,1.000,0.0,0,0.0,0,false,15.0,878.00,5853.33,4972,5850.0,Mercamio,5850.0,5850.0,FRESA BANDEJA OFERTA*500g,-,-,-,-,-,-,-,-,-
15 Jan 2024,1.0,5850.00,FRESA BANDEJA OFERTA*500g,006276,5850.0,1.000,0.0,0,0.0,0,0,0.0,0,0,5850,5850.0,Mercamio,5850.0,5850.0,FRESA BANDEJA OFERTA*500g,-,-,-,-,-,-,-,-,-
27 Sep 2023,1.0,5300.00,FRESA BANDEJA OFERTA*500g,006276,5300.0,1.000,0.0,0,0.0,0,0,0.0,0,0,5300,5300.0,Mercamio,5300.0,5300.0,FRESA BANDEJA OFERTA*500g,-,-,-,-,-,-,-,-,-
11 Sep 2023,1.0,4748.00,FRESCAVENA QUAKER*180g FRESA DP,033386,4748.0,1.000,902.0,4748.00,19.0,01,0,0.0,0,0,5650,5650.0,Mercamio,4748.0,5650.0,FRESCAVENA QUAKER*180g FRESA DP,-,-,-,-,-,-,-,-,-
25 Nov 2023,1.0,6990.00,FRIJOL FLORESTA CARGAMANTO ROJ0*500g,045434,6990.0,1.000,0.0,0,0.0,0,0,0.0,0,0,6990,6990.0,Mercamio,6990.0,6990.0,FRIJOL FLORESTA CARGAMANTO ROJ0*500g,-,-,-,-,-,-,-,-,-
25 Nov 2023,1.0,6990.00,FRIJOL FLORESTA CARGAMANTO ROJ0*500g,045434,6990.0,1.000,0.0,0,0.0,0,0,0.0,0,0,6990,6990.0,Mercamio,6990.0,6990.0,FRIJOL FLORESTA CARGAMANTO ROJ0*500g,-,-,-,-,-,-,-,-,-
